domain,B (0.0),B (0.5),% B (0.0),mean chosen_idx
uv,30,60,33.333333333333336,0.5777777777777777
Tokens vs. Bytes,36,54,40.0,0.4777777777777778
King James Bible,37,53,41.111111111111114,0.5444444444444444
Wikipedia: Copyright Act 1911,36,54,40.0,0.5444444444444444
Wikipedia: Chester Cathedral,40,50,44.44444444444444,0.5888888888888889
Wikipedia: Malcolm X,56,34,62.22222222222222,0.4666666666666667
Ensemble Everything Everywhere,15,75,16.666666666666668,0.5555555555555556
Wikipedia: BAT99-98,20,70,22.22222222222222,0.4777777777777778
toks_in: 20,113,127,47.083333333333336,0.5708333333333333
toks_in: 100,74,166,30.833333333333332,0.5
toks_in: 500,83,157,34.583333333333336,0.5166666666666667
toks_out: 20,112,128,46.666666666666664,0.5125
toks_out: 100,79,161,32.916666666666664,0.5166666666666667
toks_out: 500,79,161,32.916666666666664,0.5583333333333333
total,270,450,37.5,0.5291666666666667
